,begin,end,;,[VarName],:=,+,-,*,/,[Number],(,),if,then,endif,else,or,and,not,=,>=,>,<=,<,<>,while,do,done,for,from,to,by,print,read
<Program>,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Code>,,3,,2,,,,,,,,,2,,3,3,,,,,,,,,,2,,3,2,,,,2,2
<InstList>,,,,4,,,,,,,,,4,,,,,,,,,,,,,4,,,4,,,,4,4
<Instruction>,,,,7,,,,,,,,,8,,,,,,,,,,,,,9,,,10,,,,11,12
<InstListSeq>,,6,5,,,,,,,,,,,,6,6,,,,,,,,,,,,6,,,,,,
<Assign>,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<If>,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,
<While>,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,
<For>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,
<Print>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
<Read>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
<ExprArith>,,,,14,,,14,,,14,14,,,,,,,,,,,,,,,,,,,,,,,
<ExprProd>,,,,17,,,17,,,17,17,,,,,,,,,,,,,,,,,,,,,,,
<ExprArithPrime>,,16,16,,,15,15,,,,,16,,16,16,16,16,16,,16,16,16,16,16,16,,16,16,,,16,16,,
<SumSubOp>,,,,,,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Atom>,,,,24,,,26,,,25,27,,,,,,,,,,,,,,,,,,,,,,,
<ExprProdPrime>,,19,19,,,19,19,18,18,,,19,,19,19,19,19,19,,19,19,19,19,19,19,,19,19,,,19,19,,
<ProdOp>,,,,,,,,22,23,,,,,,,,,,,,,,,,,,,,,,,,,
<Cond>,,,,31,,,31,,,31,31,,,,,,,,31,,,,,,,,,,,,,,,
<IfSeq>,,,,,,,,,,,,,,,29,30,,,,,,,,,,,,,,,,,,
<ConjCond>,,,,34,,,34,,,34,34,,,,,,,,34,,,,,,,,,,,,,,,
<CondPrime>,,,,,,,,,,,,,,33,,,32,,,,,,,,,,33,,,,,,,
<AtomCond>,,,,37,,,37,,,37,37,,,,,,,,38,,,,,,,,,,,,,,,
<ConjCondPrime>,,,,,,,,,,,,,,36,,,36,35,,,,,,,,,36,,,,,,,
<SimpleCond>,,,,39,,,39,,,39,39,,,,,,,,,,,,,,,,,,,,,,,
<Comp>,,,,,,,,,,,,,,,,,,,,40,41,42,43,44,45,,,,,,,,,
<ForOp>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,48,,
